,Tense,Modal Type,NP Pattern,Adverb Exists
504,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'every', 'NN(sg)')",1
505,base,"['obligation', 'certainty']",OTHER,1
506,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'every', 'JJ', 'NN(sg)')",0
507,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'a', 'JJ', 'NN(sg)')",1
508,base,"['ability', 'request', 'suggestion']",OTHER,4
509,past participle,,"('DT', 'a', 'NN(sg)')",0
510,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",5
511,base,,OTHER,0
512,base,,OTHER,1
513,base,,"('DT', 'this', 'NN(sg)')",0
514,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
515,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",3
516,past participle,,"('DT', 'the', 'NN(sg)')",1
517,,['possibility'],NNP(proper),2
518,base,,"('DT', 'the', 'NN(sg)')",0
519,present participle,,"('DT', 'a', 'NN(sg)')",0
520,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",1
521,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",1
522,present participle,,OTHER,3
523,,,OTHER,0
524,past tense,,OTHER,1
525,past participle,,NNP(proper),1
526,,,OTHER,0
527,past tense,[],"('DT', 'the', 'NN(sg)')",5
528,base,,"('DT', 'the', 'NN(sg)')",1
529,present tense 3rd.sg,,OTHER,0
530,present participle,,"('DT', 'the', 'NN(sg)')",4
531,past participle,,"('DT', 'the', 'NN(sg)')",1
532,present tense 3rd.sg,,OTHER,4
533,present participle,,OTHER,1
534,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",1
535,present participle,,OTHER JJ,2
536,present participle,,"('DT', 'the', 'NN(sg)')",10
537,past participle,,OTHER,2
538,present tense 3rd.sg,,OTHER,1
539,past participle,,OTHER,2
540,,,"('DT', 'the', 'NN(sg)')",0
541,base,,"('DT', 'the', 'NN(sg)')",0
542,base,,"('DT', 'the', 'NN(sg)')",1
543,present participle,"['opinion', 'advice']",OTHER,2
544,past participle,,"('DT', 'a', 'NN(sg)')",1
545,past tense,,OTHER,2
546,base,,"('DT', 'the', 'JJ', 'NN(sg)')",3
547,base,"['obligation', 'certainty']",OTHER,2
548,past participle,,OTHER,1
549,future tense,,NNP(proper),3
550,base,,"('DT', 'another', 'NN(sg)')",0
551,base,,OTHER,1
552,past participle,,OTHER,1
553,present tense 3rd.sg,,OTHER,2
554,base,"['ability', 'request', 'suggestion']",OTHER,4
555,past participle,,NNP(proper),4
556,past participle,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",2
557,past participle,,"('DT', 'the', 'NN(sg)')",2
558,past participle,,OTHER,8
559,past participle,"['ability', 'request', 'suggestion']",OTHER JJ,6
560,base,,"('DT', 'the', 'NN(sg)')",4
561,,,OTHER,0
562,past participle,"['ability', 'request', 'suggestion']",OTHER,0
563,past tense,,OTHER,2
564,present participle,,NNS(pl),0
565,past participle,,NNP(proper),1
566,past participle,,"('DT', 'the', 'NN(sg)')",0
567,present participle,,OTHER,0
568,past participle,,OTHER,1
569,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
570,base,,OTHER,1
571,past participle,,OTHER,0
572,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
573,base,,OTHER,3
574,base,"['possibility', 'request', 'permission']",OTHER,1
575,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
576,base,,"('DT', 'a', 'NN(sg)')",0
577,past participle,,"('DT', 'a', 'JJ', 'NN(sg)')",4
578,base,,OTHER,1
579,past tense,,NNP(proper),0
580,past participle,,NNP(proper),1
581,past participle,,NNP(proper),1
582,past tense,,NNP(proper),2
583,past tense,,NNP(proper),0
584,past tense,,NNP(proper),2
585,base,,NNP(proper),0
586,present participle,,OTHER JJ,0
587,past tense,,OTHER,2
588,past tense,,"('DT', 'the', 'NN(sg)')",0
589,base,['possibility'],"('DT', 'the', 'NN(sg)')",2
590,present participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",4
591,past participle,,NNP(proper),3
592,present participle,,"('DT', 'a', 'NN(sg)')",1
593,past participle,,OTHER,3
594,past tense,,OTHER,0
595,past participle,"['obligation', 'certainty']",NNP(proper),2
596,base,,"('DT', 'a', 'NN(sg)')",1
597,present tense non-3rd.sg,,NNP(proper),0
598,base,,OTHER,2
599,base,"['ability', 'request', 'suggestion']",OTHER,3
600,base,"['opinion', 'advice']",NNP(proper),1
601,past tense,"['possibility', 'request', 'permission']",NNP(proper),1
602,past tense,,"('DT', 'a', 'JJ', 'NN(sg)')",1
603,past participle,"['opinion', 'advice']",NNP(proper),9
604,past tense,,"('DT', 'this', 'JJ', 'NN(sg)')",4
605,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",4
606,past participle,,"('DT', 'a', 'NN(sg)')",0
607,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
608,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
609,present participle,"['possibility', 'request', 'permission']","('DT', 'an', 'NN(sg)')",4
610,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",2
611,past participle,,"('DT', 'a', 'NN(sg)')",0
612,past participle,['possibility'],OTHER,1
613,base,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",2
614,future tense,"['possibility', 'request', 'permission']",OTHER,4
615,future tense,"['possibility', 'request', 'permission']",OTHER,4
616,base,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",1
617,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",1
618,past participle,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",2
619,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",0
620,base,,OTHER,1
621,present tense non-3rd.sg,,"('DT', 'a', 'NN(sg)')",2
622,past participle,"['opinion', 'advice']",OTHER,3
623,base,,"('DT', 'an', 'JJ', 'NN(sg)')",0
624,,,"('DT', 'another', 'NN(sg)')",0
625,past tense,"['possibility', 'request', 'permission']",OTHER,5
626,base,,"('DT', 'the', 'JJ', 'NN(sg)')",2
627,present participle,"['obligation', 'certainty']",OTHER,1
628,present participle,,"('DT', 'a', 'NN(sg)')",1
629,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",3
630,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",1
631,past participle,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",1
632,past participle,['possibility'],OTHER,1
633,present tense non-3rd.sg,"['ability', 'request', 'suggestion']","('DT', 'every', 'JJ', 'NN(sg)')",2
634,base,"['ability', 'request', 'suggestion']",OTHER,5
635,present tense 3rd.sg,,OTHER,1
636,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'the', 'JJ', 'NN(sg)')",0
637,past participle,"['possibility', 'request', 'permission']",OTHER JJ,9
638,present tense non-3rd.sg,,OTHER,0
639,present tense 3rd.sg,,"('DT', 'a', 'JJ', 'NN(sg)')",0
640,present tense 3rd.sg,,NNP(proper),1
641,base,"['ability', 'request', 'suggestion']",OTHER,4
642,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
643,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
644,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
645,past tense,"['opinion', 'advice']","('DT', 'every', 'NN(sg)')",6
646,,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",1
647,present tense 3rd.sg,,OTHER,0
648,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,1
649,past participle,"['possibility', 'request', 'permission']",OTHER,3
650,past participle,"['ability', 'suggestion', 'request']","('DT', 'one', 'JJ', 'NNS(pl)')",1
651,past tense,,"('DT', 'the', 'NN(sg)')",1
652,present participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
653,past tense,,"('DT', 'the', 'NN(sg)')",0
654,present participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",5
655,base,"['ability', 'suggestion', 'request']",OTHER,3
656,,"['ability', 'suggestion', 'request']",OTHER JJ,1
657,base,"['obligation', 'certainty']",OTHER JJ,7
658,past participle,"['obligation', 'certainty']",OTHER JJ,4
659,base,"['obligation', 'certainty']",OTHER JJ,3
660,base,"['obligation', 'certainty']",OTHER JJ,1
661,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
662,present participle,"['possibility', 'request', 'permission']",OTHER,5
663,past participle,['possibility'],"('DT', 'the', 'NN(sg)')",2
664,base,,"('DT', 'the', 'JJ', 'NN(sg)')",1
665,base,"['opinion', 'advice']",OTHER,4
666,past participle,,"('DT', 'the', 'NN(sg)')",1
667,past tense,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",5
668,past tense,,"('DT', 'the', 'NN(sg)')",1
669,past tense,,"('DT', 'the', 'NN(sg)')",1
670,past tense,,"('DT', 'the', 'NN(sg)')",3
671,present participle,['possibility'],"('DT', 'a', 'NN(sg)')",2
672,past participle,,"('DT', 'the', 'NN(sg)')",0
673,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",2
674,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
675,present tense 3rd.sg,"['opinion', 'advice']",OTHER,0
676,present participle,,"('DT', 'the', 'NN(sg)')",1
677,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
678,present tense 3rd.sg,"['opinion', 'advice']",OTHER,3
679,,"['possibility', 'request', 'permission']","('DT', 'a', 'JJ', 'NN(sg)')",0
680,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",3
681,base,,"('DT', 'the', 'NN(sg)')",0
682,base,[],"('DT', 'the', 'NN(sg)')",1
683,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
684,past participle,,OTHER,5
685,past participle,,"('DT', 'a', 'NN(sg)')",2
686,past participle,,"('DT', 'a', 'NN(sg)')",0
687,past tense,,"('DT', 'the', 'NN(sg)')",0
688,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
689,,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
690,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
691,base,,"('DT', 'the', 'NN(sg)')",1
692,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",2
693,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
694,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
695,past tense,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
696,past participle,,"('DT', 'the', 'NN(sg)')",0
697,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",3
698,past participle,,OTHER,0
699,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
700,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",2
701,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",0
702,past participle,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",1
703,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
704,base,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
705,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",1
706,present tense 3rd.sg,,"('DT', 'some', 'NN(sg)')",1
707,base,,"('DT', 'the', 'NN(sg)')",1
708,present tense 3rd.sg,,"('DT', 'one', 'JJ', 'NN(sg)')",1
709,present tense non-3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
710,present tense non-3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
711,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
712,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
713,present tense 3rd.sg,,OTHER,4
714,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
715,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",2
716,past participle,,"('DT', 'an', 'NN(sg)')",2
717,,,"('DT', 'a', 'NN(sg)')",0
718,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
719,present tense non-3rd.sg,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
720,present tense non-3rd.sg,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
721,present tense non-3rd.sg,,"('DT', 'an', 'JJ', 'NN(sg)')",2
722,present participle,"['opinion', 'advice']",OTHER,4
723,past participle,,"('DT', 'a', 'JJ', 'NN(sg)')",2
724,base,,"('DT', 'the', 'NN(sg)')",0
725,past participle,,"('DT', 'the', 'NN(sg)')",1
726,past participle,,"('DT', 'the', 'NN(sg)')",1
727,past participle,['possibility'],"('DT', 'the', 'NN(sg)')",3
728,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",0
729,present tense non-3rd.sg,,"('DT', 'one', 'JJ', 'NN(sg)')",3
730,past participle,,"('DT', 'the', 'NN(sg)')",2
731,present participle,,"('DT', 'a', 'NN(sg)')",1
732,past tense,,"('DT', 'an', 'NN(sg)')",0
733,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",4
734,base,,OTHER,2
735,past tense,,NNP(proper),0
736,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'JJ', 'NN(sg)')",7
737,past participle,,"('DT', 'the', 'NN(sg)')",4
738,past tense,,"('DT', 'the', 'NN(sg)')",1
739,base,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
740,past participle,,OTHER,1
741,past participle,,NNP(proper),1
742,past tense,,NNP(proper),0
743,base,,OTHER,4
744,base,,OTHER,1
745,past participle,,"('DT', 'the', 'NN(sg)')",1
746,present participle,,OTHER,2
747,base,['possibility'],OTHER,4
748,base,,"('DT', 'the', 'NN(sg)')",0
749,base,"['opinion', 'advice']",OTHER,1
750,base,[],"('DT', 'the', 'NN(sg)')",2
751,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
752,present participle,,OTHER,0
753,past participle,,OTHER,3
754,base,,NNP(proper),0
755,past participle,"['ability', 'suggestion', 'request']",NNP(proper),4
756,base,,NNP(proper),3
757,past tense,,OTHER,2
758,base,,"('DT', 'a', 'NN(sg)')",0
759,,,OTHER,1
760,base,,OTHER,0
761,past participle,,NNP(proper),1
762,past tense,,OTHER,0
763,base,,OTHER,1
764,past participle,,OTHER,1
765,present participle,,"('DT', 'the', 'NN(sg)')",2
766,base,"['ability', 'request', 'suggestion']","('DT', 'this', 'JJ', 'NN(sg)')",0
767,past participle,,OTHER,0
768,past tense,,"('DT', 'a', 'JJ', 'NN(sg)')",2
769,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",3
770,past tense,"['ability', 'request', 'suggestion']",OTHER,3
771,present participle,,OTHER,0
772,base,[],"('DT', 'the', 'NN(sg)')",0
773,base,,"('DT', 'the', 'NNS(pl)')",1
774,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",3
775,past tense,,OTHER,1
776,past tense,,"('DT', 'the', 'NN(sg)')",1
777,base,,"('DT', 'the', 'NN(sg)')",3
778,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
779,base,,"('DT', 'a', 'NN(sg)')",0
780,present participle,,OTHER,4
781,base,,OTHER,1
782,past tense,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",1
783,past participle,,"('DT', 'a', 'NN(sg)')",3
784,past tense,,OTHER,3
785,base,,OTHER,0
786,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",2
787,present participle,,OTHER JJ,3
788,past participle,,NNP(proper),0
789,present tense non-3rd.sg,"['obligation', 'certainty']",OTHER,1
790,present participle,,"('DT', 'a', 'NN(sg)')",2
791,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
792,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER,1
793,present tense non-3rd.sg,"['possibility', 'request', 'permission']",OTHER,1
794,past participle,,"('DT', 'the', 'NN(sg)')",0
795,past participle,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",0
796,base,,"('DT', 'the', 'NN(sg)')",1
797,past participle,,"('DT', 'the', 'NN(sg)')",1
798,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
799,present tense non-3rd.sg,"['ability', 'suggestion', 'request']",OTHER,1
800,present tense non-3rd.sg,,"('DT', 'a', 'NN(sg)')",0
801,present tense non-3rd.sg,"['ability', 'suggestion', 'request']",OTHER,2
802,past participle,,"('DT', 'an', 'NN(sg)')",0
803,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
804,past participle,"['ability', 'suggestion', 'request']",OTHER,5
805,base,,"('DT', 'an', 'NN(sg)')",2
806,present participle,"['opinion', 'advice']",OTHER,2
807,past participle,,OTHER,2
808,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
809,past tense,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
810,,,"('DT', 'a', 'NN(sg)')",0
811,past tense,,"('DT', 'the', 'NN(sg)')",2
812,past participle,['possibility'],"('DT', 'the', 'NN(sg)')",2
813,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",3
814,present participle,"['ability', 'request', 'suggestion']",NNP(proper),4
815,present tense non-3rd.sg,,"('DT', 'a', 'NN(sg)')",0
816,past participle,,OTHER,3
817,present participle,"['ability', 'suggestion', 'request']",OTHER,7
818,present participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
819,present participle,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
820,base,,OTHER,2
821,base,,OTHER,0
822,base,"['ability', 'request', 'suggestion']",OTHER,2
823,past tense,,"('DT', 'the', 'NN(sg)')",2
824,present tense 3rd.sg,,OTHER,0
825,past tense,"['ability', 'request', 'suggestion']",OTHER,1
826,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",2
827,past participle,,"('DT', 'a', 'NN(sg)')",0
828,past participle,"['possibility', 'request', 'permission']","('DT', 'another', 'NN(sg)')",4
829,present participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
830,base,,"('DT', 'the', 'NN(sg)')",0
831,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",4
832,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",0
833,present tense non-3rd.sg,,OTHER,7
834,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
835,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'a', 'NN(sg)')",4
836,base,,"('DT', 'the', 'JJ', 'NN(sg)')",0
837,present participle,,"('DT', 'the', 'NN(sg)')",3
838,present tense 3rd.sg,,"('DT', 'each', 'NN(sg)')",2
839,base,,"('DT', 'a', 'JJ', 'NN(sg)')",4
840,base,,"('DT', 'the', 'NN(sg)')",6
841,present participle,,"('DT', 'the', 'NN(sg)')",3
842,past tense,,"('DT', 'the', 'NN(sg)')",1
843,present tense 3rd.sg,,OTHER,1
844,present tense 3rd.sg,,"('DT', 'every', 'NN(sg)')",2
845,past tense,,"('DT', 'a', 'NN(sg)')",0
846,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
847,base,,"('DT', 'the', 'NN(sg)')",1
848,present participle,,"('DT', 'a', 'NN(sg)')",2
849,present tense 3rd.sg,,NNP(proper),1
850,present participle,,"('DT', 'the', 'JJ', 'NN(sg)')",2
851,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",2
852,present tense 3rd.sg,,"('DT', 'that', 'NN(sg)')",7
853,past participle,,OTHER,6
854,present tense non-3rd.sg,,"('DT', 'each', 'NN(sg)')",0
855,past participle,,"('DT', 'the', 'NN(sg)')",1
856,base,,"('DT', 'the', 'NN(sg)')",2
857,past tense,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
858,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
859,present tense 3rd.sg,,NNP(proper),0
860,past participle,,OTHER,2
861,present participle,,"('DT', 'every', 'NN(sg)')",1
862,present tense 3rd.sg,,"('DT', 'each', 'NN(sg)')",0
863,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",3
864,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
865,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
866,base,"['possibility', 'request', 'permission']",OTHER,3
867,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
868,past participle,,"('DT', 'the', 'NN(sg)')",0
869,past participle,['possibility'],"('DT', 'the', 'NN(sg)')",0
870,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
871,past tense,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
872,past participle,"['obligation', 'certainty']",OTHER,1
873,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
874,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",2
875,past tense,"['opinion', 'advice']",NNP(proper),1
876,base,"['opinion', 'advice']",OTHER,1
877,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'an', 'JJ', 'NN(sg)')",0
878,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
879,present tense 3rd.sg,"['opinion', 'advice']",OTHER,1
880,past participle,"['possibility', 'request', 'permission']",OTHER,0
881,past tense,,OTHER,1
882,past tense,,"('DT', 'the', 'NN(sg)')",2
883,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
884,past tense,,"('DT', 'the', 'NN(sg)')",2
885,past tense,,NNP(proper),0
886,present tense 3rd.sg,,OTHER,0
887,past tense,,NNP(proper),1
888,past participle,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
889,present tense non-3rd.sg,,OTHER,0
890,present participle,,NNP(proper),2
891,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
892,base,,OTHER,3
893,past tense,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",5
894,base,,"('DT', 'the', 'NN(sg)')",1
895,past tense,,"('DT', 'a', 'NN(sg)')",2
896,base,,"('DT', 'the', 'JJ', 'NN(sg)')",2
897,base,"['opinion', 'advice']",OTHER,3
898,present participle,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",6
899,past tense,,"('DT', 'the', 'NN(sg)')",2
900,past participle,,"('DT', 'the', 'NN(sg)')",0
901,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",1
902,base,"['obligation', 'certainty']",OTHER,4
903,past tense,,NNP(proper),1
904,base,,NNP(proper),0
905,present tense 3rd.sg,,NNP(proper),0
906,past participle,,NNP(proper),0
907,past tense,"['ability', 'suggestion', 'request']",NNP(proper),2
908,past participle,,OTHER,5
909,present participle,,NNP(proper),1
910,past participle,['possibility'],OTHER,1
911,past participle,,OTHER,1
912,base,,"('DT', 'the', 'NN(sg)')",0
913,base,,OTHER,1
914,present participle,,NNP(proper),0
915,past participle,,OTHER,0
916,,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",0
917,base,"['ability', 'suggestion', 'request']","('DT', 'some', 'JJ', 'NN(sg)')",4
918,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER,8
919,base,"['obligation', 'certainty']",NNP(proper),0
920,base,"['ability', 'suggestion', 'request']",OTHER,3
921,past participle,,OTHER,1
922,base,,OTHER,1
923,base,,OTHER,0
924,base,,OTHER,4
925,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
926,,,OTHER JJ,2
927,present tense non-3rd.sg,,"('DT', 'a', 'NN(sg)')",1
928,past participle,,OTHER,0
929,present participle,,"('DT', 'any', 'NN(sg)')",1
930,base,,OTHER,0
931,present participle,,OTHER,1
932,present participle,,"('DT', 'the', 'NN(sg)')",2
933,past participle,,NNP(proper),0
934,past participle,"['ability', 'request', 'suggestion']",NNP(proper),3
935,present participle,,OTHER,0
936,present participle,,OTHER,0
937,past tense,,NNP(proper),1
938,present tense 3rd.sg,"['obligation', 'certainty']",NNP(proper),1
939,past participle,,OTHER,0
940,present tense 3rd.sg,,OTHER,0
941,past participle,,NNP(proper),2
942,past participle,,OTHER,1
943,base,,"('DT', 'the', 'NN(sg)')",3
944,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
945,,,OTHER,0
946,past participle,"['ability', 'suggestion', 'request']",NNP(proper),1
947,base,,"('DT', 'the', 'NN(sg)')",1
948,past participle,,NNP(proper),1
949,past participle,,OTHER,0
950,past tense,,NNP(proper),3
951,past participle,,"('DT', 'the', 'NN(sg)')",4
952,present participle,,OTHER,3
953,past participle,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
954,past tense,[],"('DT', 'the', 'NN(sg)')",3
955,past participle,,NNP(proper),0
956,past participle,,OTHER JJ,0
957,,"['ability', 'suggestion', 'request']",OTHER,16
958,,"['opinion', 'advice']",OTHER,3
959,base,,NNP(proper),0
960,past participle,,NNP(proper),0
961,present tense 3rd.sg,,NNP(proper),3
962,past participle,,NNP(proper),1
963,past participle,,OTHER,0
964,base,,OTHER,2
965,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER,0
966,base,,OTHER,0
967,past participle,,"('DT', 'the', 'NN(sg)')",4
968,past participle,,NNP(proper),1
969,base,"['ability', 'suggestion', 'request']",OTHER,1
970,base,,NNP(proper),0
971,base,,OTHER,0
972,present tense 3rd.sg,,OTHER,1
973,present participle,[],OTHER,4
974,past tense,"['ability', 'request', 'suggestion']",OTHER,2
975,present tense 3rd.sg,,OTHER,2
976,,"['ability', 'suggestion', 'request']",OTHER,4
977,present tense non-3rd.sg,"['ability', 'suggestion', 'request']",OTHER,2
978,present participle,"['ability', 'suggestion', 'request']",OTHER,2
979,present participle,"['ability', 'suggestion', 'request']",OTHER,2
980,past participle,,"('DT', 'the', 'NN(sg)')",5
981,past participle,,"('DT', 'a', 'NN(sg)')",2
982,past participle,,"('DT', 'the', 'NN(sg)')",1
983,base,,OTHER,2
984,base,,OTHER,0
985,past participle,,OTHER,1
986,past participle,,OTHER,1
987,present participle,,OTHER JJ,0
988,past participle,,OTHER,3
989,base,[],NNP(proper),3
990,past tense,,"('DT', 'the', 'NN(sg)')",1
991,past participle,"['possibility', 'request', 'permission']",OTHER,8
992,base,"['ability', 'suggestion', 'request']","('DT', 'this', 'JJ', 'NN(sg)')",2
993,present participle,[],"('DT', 'the', 'NN(sg)')",4
994,past tense,,"('DT', 'the', 'NN(sg)')",5
995,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",3
996,base,[],OTHER,3
997,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",6
998,base,,"('DT', 'the', 'NN(sg)')",3
999,past tense,,"('DT', 'the', 'NN(sg)')",1
1000,base,,"('DT', 'a', 'NN(sg)')",1
1001,,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",5
1002,past participle,['possibility'],NNP(proper),1
1003,base,"['obligation', 'certainty']",OTHER,2
1004,base,"['possibility', 'request', 'permission']","('DT', 'any', 'NN(sg)')",7
1005,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",5
